dates,label,Year,Month,Yearmonth
"Jun 2, 2018",1,2018,Jun,2018-06-01
"May 20, 2018",1,2018,May,2018-05-01
"May 21, 2018",1,2018,May,2018-05-01
"May 30, 2018",1,2018,May,2018-05-01
"Jun 2, 2018",1,2018,Jun,2018-06-01
"May 18, 2018",1,2018,May,2018-05-01
"May 18, 2018",1,2018,May,2018-05-01
"Jun 1, 2018",1,2018,Jun,2018-06-01
"May 30, 2018",1,2018,May,2018-05-01
"May 15, 2018",1,2018,May,2018-05-01
"May 15, 2018",1,2018,May,2018-05-01
"May 14, 2018",1,2018,May,2018-05-01
"May 28, 2018",1,2018,May,2018-05-01
"May 28, 2018",1,2018,May,2018-05-01
"May 6, 2018",1,2018,May,2018-05-01
"May 9, 2018",1,2018,May,2018-05-01
"May 11, 2018",1,2018,May,2018-05-01
"May 11, 2018",1,2018,May,2018-05-01
"May 22, 2018",1,2018,May,2018-05-01
"May 7, 2018",1,2018,May,2018-05-01
"May 23, 2018",1,2018,May,2018-05-01
"May 22, 2018",0,2018,May,2018-05-01
"May 9, 2018",1,2018,May,2018-05-01
"May 9, 2018",1,2018,May,2018-05-01
"May 9, 2018",1,2018,May,2018-05-01
"May 9, 2018",1,2018,May,2018-05-01
"May 8, 2018",1,2018,May,2018-05-01
"May 8, 2018",1,2018,May,2018-05-01
"May 8, 2018",1,2018,May,2018-05-01
"May 22, 2018",1,2018,May,2018-05-01
"May 4, 2018",1,2018,May,2018-05-01
"May 7, 2018",1,2018,May,2018-05-01
"May 7, 2018",1,2018,May,2018-05-01
"May 18, 2018",1,2018,May,2018-05-01
"May 18, 2018",1,2018,May,2018-05-01
"May 22, 2018",0,2018,May,2018-05-01
"Apr 26, 2018",1,2018,Apr,2018-04-01
"May 11, 2018",1,2018,May,2018-05-01
"May 3, 2018",1,2018,May,2018-05-01
"May 3, 2018",1,2018,May,2018-05-01
"Apr 28, 2018",1,2018,Apr,2018-04-01
"Jun 2, 2018",0,2018,Jun,2018-06-01
"May 2, 2018",1,2018,May,2018-05-01
"May 2, 2018",1,2018,May,2018-05-01
"May 3, 2018",1,2018,May,2018-05-01
"Jun 1, 2018",0,2018,Jun,2018-06-01
"May 1, 2018",1,2018,May,2018-05-01
"May 1, 2018",1,2018,May,2018-05-01
